car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
2015,Mazda,2,1.5,Sports Maxx Sports,Hatchback,AT,9.0,14.0,white,140000,2023-10-25,mazda-2-sports-maxx-sports-กรุงเทพและปริมณฑล-มีนบุรี/12578114,245000
2012,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,brown,82000,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-มีนบุรี/10980528,269000
2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,37500,2023-10-25,mazda-2-s-leather-ภาคอีสาน-อำเภอเมืองร้อยเอ็ด/12772555,390000
2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,red,82500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-อำเภอบางพลี/12745479,650000
2016,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,152500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12846477,357900
2021,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,25.0,gray,18033,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-มีนบุรี/12777830?auc=true,549000
2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,22.0,red,37500,2023-10-25,mazda-2-high-connect-ภาคอีสาน-อำเภอเมืองอุดรธานี/11348706,405000
2016,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,brown,157500,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12856098,354900
2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,white,41000,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12430853?auc=true,459000
2017,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15.0,25.0,white,53040,2023-10-25,mazda-2-sports-high-plus-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12799458?auc=true,378000
2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,brown,111092,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12290745?carsome=true,335900
2018,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,gray,77500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12860089,465900
2018,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,,,brown,37500,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคตะวันออก-อำเภอเมืองชลบุรี/11958860,439000
2014,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,white,2500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12189320?auc=true,395000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,32500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12847768,418900
2022,Mazda,2,1.3,S,Sedan,AT,15.0,25.0,black,10486,2023-10-25,mazda-2-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12767573?auc=true,459999
2018,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,142500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12294613?carsome=true,512900
