iter	RMSE
0	177342.9114
1	171568.9128
2	166043.6027
3	161052.4814
4	156158.006
5	151464.509
6	147309.0079
7	142950.5805
8	138972.9259
9	135466.2514
10	131830.6735
11	128810.3227
12	125528.7837
13	122456.6647
14	119357.7771
15	116416.2821
16	113908.9643
17	111452.5909
18	109188.6085
19	107366.5555
20	105398.8969
21	103466.4843
22	101376.221
23	99497.89673
24	97727.77633
25	96222.08606
26	94560.756
27	93134.89122
28	91505.45137
29	90115.8265
30	88819.45872
31	87661.70311
32	86575.88534
33	85374.12605
34	84462.17077
35	83561.94709
36	82666.09461
37	81680.38624
38	80854.69759
39	80068.14481
40	79266.08082
41	78548.36219
42	77922.02653
43	77200.85122
44	76691.06171
45	76189.93922
46	75543.03791
47	75091.18543
48	74494.06733
49	74080.86805
50	73714.63415
51	73254.57324
52	72739.36504
53	72445.43293
54	72049.77481
55	71749.48131
56	71344.62516
57	71047.72206
58	70782.85959
59	70453.96712
60	70198.0524
61	69905.60031
62	69461.02822
63	69216.22281
64	68923.53726
65	68715.46085
66	68542.27682
67	68306.61263
68	68081.75478
69	67890.13455
70	67559.15384
71	67322.21189
72	67145.13216
73	66910.94349
74	66742.46832
75	66595.44987
76	66466.12655
77	66284.25724
78	66174.27796
79	66023.75227
80	65953.41609
81	65816.30092
82	65635.52599
83	65480.43131
84	65333.91321
85	65183.46689
86	65071.13699
87	64929.46096
88	64757.22901
89	64675.93574
90	64453.46583
91	64341.19299
92	64258.92393
93	64161.54042
94	64024.51356
95	63930.54515
96	63812.68043
97	63634.65206
98	63557.0786
99	63436.7737
100	63382.58002
101	63230.26747
102	63175.89841
103	63031.16789
104	62873.89982
105	62749.7493
106	62618.59589
107	62528.05327
108	62473.86153
109	62412.43696
110	62273.81664
111	62177.48619
112	62106.34125
113	62052.91522
114	61982.5661
115	61911.67718
116	61817.08854
117	61765.36644
118	61687.1156
119	61640.21795
120	61526.78514
121	61464.28614
122	61416.79225
123	61327.58751
124	61278.3487
125	61236.26671
126	61135.90865
127	61084.66719
128	61026.27529
129	60912.7419
130	60873.25147
131	60768.49227
132	60665.80616
133	60611.77753
134	60494.70231
135	60456.20069
136	60423.45305
137	60331.4613
138	60258.40478
139	60154.78484
140	60096.78579
141	60006.32229
142	59873.79141
143	59844.96687
144	59783.01037
145	59718.35593
146	59614.25422
147	59523.77143
148	59466.64323
149	59371.78536
150	59295.52512
151	59213.05531
152	59130.21762
153	59043.50494
154	58993.11668
155	58955.38939
156	58935.78683
157	58899.80068
158	58862.90252
159	58763.81148
160	58719.41498
161	58573.55555
162	58485.73499
163	58392.40692
164	58306.00548
165	58261.96789
166	58218.9222
167	58135.81478
168	58105.608
169	58063.56302
170	57974.61364
171	57926.16779
172	57867.03429
173	57826.45608
174	57748.80245
175	57701.51601
176	57653.14993
177	57546.49113
178	57461.32862
179	57367.11242
180	57310.73591
181	57218.51643
182	57147.95742
183	57039.66951
184	56957.51804
185	56840.28197
186	56775.2838
187	56686.25436
188	56605.75951
189	56513.66058
190	56438.21156
191	56338.75812
192	56258.45165
193	56182.31541
194	56123.23887
195	56059.40742
196	55983.47171
197	55939.95752
198	55870.39398
199	55807.54813
200	55737.19791
201	55670.61895
202	55579.92126
203	55519.15986
204	55495.64152
205	55416.06537
206	55368.33358
207	55278.59755
208	55199.47097
209	55171.99007
210	55088.09908
211	55013.48494
212	54899.44095
213	54841.79913
214	54785.80368
215	54729.48003
216	54669.50445
217	54608.63396
218	54543.21238
219	54489.06764
220	54430.08406
221	54373.23129
222	54317.39775
223	54265.07292
224	54215.16271
225	54157.69683
226	54094.24973
227	54045.01521
228	53996.09404
229	53948.91163
230	53906.60558
231	53864.97676
232	53796.28895
233	53734.61753
234	53692.7763
235	53635.09868
236	53601.59344
237	53561.95229
238	53523.81274
239	53474.80221
240	53434.08039
241	53383.93626
242	53347.35397
243	53297.43373
244	53261.74534
245	53226.76596
246	53193.11598
247	53153.53562
248	53114.1935
249	53080.89002
250	53056.79937
251	53034.20678
252	52973.24993
253	52943.1092
254	52908.25231
255	52850.88757
256	52812.77347
257	52733.74488
258	52683.42467
259	52586.80426
260	52556.08631
261	52525.42317
262	52468.28976
263	52437.49457
264	52403.28792
265	52368.11304
266	52340.05233
267	52310.74235
268	52284.40792
269	52248.31485
270	52221.60166
271	52193.77983
272	52164.5514
273	52139.21903
274	52111.73074
