iter	Passed	Remaining
0	1	1549
1	2	1391
2	4	1352
3	5	1321
4	6	1328
5	7	1318
6	9	1296
7	10	1308
8	11	1306
9	13	1307
10	14	1308
11	15	1304
12	17	1307
13	18	1312
14	19	1312
15	21	1317
16	22	1318
17	24	1318
18	25	1327
19	27	1323
20	28	1319
21	29	1316
22	30	1313
23	32	1306
24	33	1304
25	34	1300
26	36	1298
27	37	1295
28	38	1295
29	40	1293
30	41	1291
31	42	1293
32	44	1293
33	45	1296
34	46	1295
35	48	1295
36	49	1292
37	51	1292
38	52	1293
39	54	1296
40	55	1298
41	56	1295
42	58	1297
43	59	1297
44	61	1294
45	62	1292
46	63	1289
47	64	1287
48	66	1289
49	68	1296
50	69	1294
51	70	1292
52	72	1294
53	74	1297
54	75	1295
55	76	1294
56	78	1294
57	79	1293
58	80	1290
59	82	1287
60	83	1284
61	84	1284
62	86	1283
63	87	1281
64	89	1280
65	90	1277
66	91	1277
67	93	1277
68	94	1276
69	95	1274
70	97	1273
71	98	1271
72	100	1270
73	101	1268
74	102	1266
75	103	1264
76	105	1262
77	106	1261
78	108	1259
79	109	1256
80	110	1248
81	111	1247
82	112	1244
83	113	1242
84	115	1240
85	116	1240
86	118	1239
87	119	1237
88	120	1235
89	121	1233
90	123	1231
91	124	1228
92	125	1226
93	127	1224
94	128	1226
95	130	1226
96	132	1230
97	133	1228
98	134	1226
99	136	1225
100	137	1228
101	139	1227
102	140	1226
103	142	1229
104	187	1600
105	190	1603
106	231	1930
107	233	1926
108	234	1918
109	235	1908
110	237	1901
111	238	1893
112	240	1885
113	241	1877
114	242	1868
115	244	1860
116	245	1852
117	247	1850
118	248	1841
119	249	1832
120	251	1825
121	253	1824
122	254	1817
123	256	1808
124	257	1800
125	258	1792
126	259	1785
127	261	1778
128	262	1772
129	264	1767
130	265	1760
131	267	1757
132	268	1751
133	270	1745
134	271	1738
135	272	1732
136	274	1727
137	275	1720
138	276	1714
139	277	1707
140	279	1701
141	280	1695
142	281	1689
143	283	1682
144	284	1676
145	285	1670
146	286	1664
147	288	1659
148	289	1652
149	290	1646
150	291	1640
151	293	1635
152	294	1627
153	295	1621
154	296	1615
155	297	1609
156	298	1603
157	299	1598
158	301	1592
159	302	1586
160	303	1580
161	304	1575
162	305	1570
163	307	1564
164	308	1559
165	309	1554
166	310	1549
167	311	1543
168	313	1539
169	314	1535
170	315	1530
171	316	1525
172	318	1521
173	319	1517
174	320	1513
175	322	1508
176	323	1503
177	324	1499
178	325	1494
179	327	1490
180	328	1486
181	329	1481
182	330	1476
183	331	1472
184	333	1468
185	334	1463
186	335	1458
187	336	1454
188	337	1449
189	339	1446
190	340	1442
191	341	1439
192	343	1435
193	344	1431
194	345	1427
195	347	1424
196	348	1420
197	349	1416
198	350	1411
199	351	1407
200	353	1404
201	354	1400
202	355	1396
203	357	1393
204	358	1388
205	359	1385
206	360	1381
207	361	1377
208	363	1373
209	364	1369
210	365	1366
211	366	1362
212	367	1359
213	369	1355
214	370	1351
215	371	1347
216	372	1344
217	373	1341
218	374	1337
219	376	1333
220	377	1329
221	378	1325
222	379	1321
223	380	1318
224	381	1314
225	382	1310
226	384	1307
227	385	1304
228	386	1301
229	387	1297
230	388	1294
231	389	1290
232	391	1287
233	392	1284
234	393	1280
235	394	1277
236	395	1274
237	396	1270
238	398	1267
239	399	1265
240	400	1262
241	402	1259
242	403	1256
243	404	1253
244	405	1250
245	407	1248
246	408	1244
247	409	1241
248	410	1238
249	411	1235
250	413	1233
251	414	1230
252	415	1227
253	417	1225
254	418	1221
255	419	1219
256	420	1216
257	421	1213
258	423	1210
259	424	1207
260	425	1204
261	426	1201
262	427	1199
263	429	1196
264	430	1193
265	431	1190
266	433	1188
267	434	1186
268	435	1183
269	436	1181
270	438	1178
271	439	1176
272	440	1173
273	441	1171
274	443	1168
275	444	1165
276	445	1163
277	446	1160
278	448	1158
279	449	1156
280	450	1153
281	452	1151
282	453	1148
283	454	1146
284	456	1144
285	457	1141
286	458	1139
287	460	1138
288	461	1136
289	463	1133
290	464	1131
291	465	1128
292	466	1126
293	468	1124
294	469	1121
295	470	1118
296	471	1115
297	472	1113
298	474	1111
299	475	1108
300	476	1106
301	477	1103
302	478	1101
303	480	1098
304	481	1096
305	482	1094
306	483	1091
307	484	1089
308	486	1087
309	487	1084
310	488	1082
311	489	1079
312	490	1077
313	492	1075
314	493	1072
315	494	1070
316	495	1068
317	497	1066
318	498	1064
319	499	1061
320	500	1059
321	502	1057
322	503	1054
323	504	1052
324	505	1050
325	506	1047
326	507	1045
327	509	1043
328	510	1040
329	511	1038
330	512	1036
331	514	1034
332	515	1032
333	516	1029
334	517	1027
335	518	1025
336	520	1023
337	521	1020
338	522	1018
339	523	1016
340	524	1014
341	526	1012
342	527	1009
343	528	1007
344	529	1005
345	530	1003
346	532	1001
347	533	999
348	534	996
349	535	994
350	536	992
351	537	990
352	539	988
353	540	986
354	541	984
355	542	981
356	543	979
357	545	977
358	546	975
359	547	973
360	548	971
361	550	969
362	551	967
363	552	965
364	553	963
365	554	961
366	555	958
367	557	957
368	558	955
369	560	953
370	561	951
371	562	949
372	563	947
373	564	945
374	566	943
375	567	941
376	568	939
377	569	937
378	570	935
379	572	933
380	573	932
381	575	930
382	576	928
383	577	926
384	578	924
385	579	922
386	581	920
387	582	918
388	583	916
389	584	914
390	585	912
391	587	910
392	588	908
393	589	906
394	590	905
395	592	903
396	593	901
397	594	899
398	595	897
399	597	895
400	598	893
401	599	891
402	600	889
403	601	887
404	602	885
405	604	883
406	605	882
407	606	880
408	607	878
409	608	876
410	609	874
411	611	872
412	612	870
413	613	868
414	614	866
415	616	864
416	617	862
417	618	861
418	619	859
419	620	857
420	621	855
421	622	853
422	624	851
423	625	849
424	626	847
425	627	845
426	629	844
427	630	842
428	631	840
429	632	838
430	633	836
431	635	834
432	636	833
433	637	831
434	638	829
435	639	827
436	640	825
437	642	823
438	643	821
439	644	820
440	645	818
441	646	816
442	647	814
443	649	812
444	650	810
445	651	809
446	652	807
447	653	805
448	655	803
449	656	802
450	657	800
451	658	798
452	659	796
453	660	794
454	662	793
455	663	791
456	664	789
457	665	788
458	667	786
459	668	784
460	669	782
461	670	780
462	671	779
463	673	777
464	674	775
465	675	773
466	676	772
467	678	770
468	679	769
469	680	767
470	681	765
471	682	763
472	683	762
473	685	760
474	686	758
475	687	756
476	688	754
477	689	753
478	690	751
479	692	749
480	693	748
481	694	746
482	695	744
483	696	742
484	698	741
485	699	739
486	700	737
487	701	736
488	702	734
489	704	732
490	705	731
491	706	729
492	707	727
493	708	726
494	710	724
495	711	723
496	712	721
497	714	720
498	715	718
499	716	716
500	718	715
501	719	713
502	720	712
503	722	710
504	723	709
505	724	707
506	726	705
507	727	704
508	728	702
509	729	701
510	731	699
511	732	698
512	733	696
513	734	694
514	735	693
515	737	691
516	738	689
517	739	688
518	741	686
519	742	685
520	743	683
521	744	682
522	745	680
523	747	678
524	748	677
525	749	675
526	750	673
527	752	672
528	753	670
529	754	669
530	755	667
531	757	666
532	758	664
533	759	662
534	760	661
535	761	659
536	763	657
537	764	656
538	765	654
539	766	653
540	767	651
541	769	649
542	770	648
543	771	646
544	772	645
545	773	643
546	775	641
547	776	640
548	777	638
549	778	637
550	779	635
551	780	633
552	782	632
553	783	630
554	784	629
555	786	627
556	787	626
557	788	624
558	789	623
559	791	621
560	792	620
561	793	618
562	795	617
563	796	615
564	797	614
565	798	612
566	800	611
567	801	609
568	802	608
569	803	606
570	805	604
571	806	603
572	807	601
573	808	600
574	809	598
575	811	597
576	812	595
577	813	593
578	814	592
579	815	590
580	817	589
581	818	587
582	819	586
583	820	584
584	821	583
585	823	581
586	824	580
587	825	578
588	826	576
589	827	575
590	829	573
591	830	572
592	831	570
593	832	569
594	833	567
595	835	566
596	836	564
597	837	563
598	838	561
599	839	559
600	841	558
601	842	556
602	843	555
603	844	553
604	845	552
605	847	550
606	848	549
607	849	547
608	850	546
609	851	544
610	852	543
611	854	541
612	855	539
613	856	538
614	857	536
615	859	535
616	860	534
617	861	532
618	862	531
619	864	529
620	865	528
621	866	526
622	867	525
623	869	523
624	870	522
625	871	520
626	872	519
627	874	517
628	875	516
629	876	514
630	877	513
631	878	511
632	880	510
633	881	508
634	882	507
635	883	505
636	884	504
637	886	502
638	887	501
639	888	499
640	889	498
641	890	496
642	892	495
643	893	493
644	894	492
645	895	490
646	896	489
647	897	487
648	899	486
649	900	484
650	901	483
651	902	481
652	903	480
653	905	478
654	906	477
655	907	476
656	909	474
657	910	473
658	911	471
659	913	470
660	914	469
661	915	467
662	917	466
663	918	464
664	920	463
665	921	462
666	922	460
667	924	459
668	925	457
669	926	456
670	928	455
671	929	453
672	930	452
673	932	450
674	933	449
675	934	448
676	936	446
677	937	445
678	938	443
679	939	442
680	941	440
681	942	439
682	943	437
683	944	436
684	946	435
685	947	433
686	948	432
687	949	430
688	951	429
689	952	427
690	953	426
691	954	424
692	955	423
693	957	422
694	958	420
695	959	419
696	960	417
697	961	416
698	963	414
699	964	413
700	965	411
701	967	410
702	968	409
703	969	407
704	970	406
705	972	404
706	973	403
707	974	402
708	976	400
709	977	399
710	978	397
711	979	396
712	980	394
713	982	393
714	983	392
715	984	390
