Version,generalInfo,distance,update,cost
"2010 MAZDA MAZDA2, 1.5 Groove Sports โฉม ปี09-14 5Dr",สีเขียว เกียร์ออโต้ ทะเบียน ฎร5880 กรุงเทพฯ,"130,000 ",อัพเดท  2 ชม. ผู้เข้าชม  495,"138,000 บาทราคาป้ายแดง570"
"2010 MAZDA MAZDA2, 1.5 Maxx Sports โฉม ปี09-14 5Dr",สีแดง เกียร์ออโต้ ทะเบียน ขน9 กรุงเทพฯ,"270,000 ",อัพเดท  12 ชม. ผู้เข้าชม  1436,"149,000 บาทราคาป้ายแดง690"
"2010 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 5Dr",สีขาว เกียร์ออโต้ ทะเบียน ฎป6486 กรุงเทพฯ,"215,000 ",อัพเดท  1 วัน ผู้เข้าชม  2870,"159,000 บาทราคาป้ายแดง916"
"2010 MAZDA BT-50, 2.5 S FREESTYLE CAB (COMMONRAIL) โฉม FREE STYLE CAB",สีเทา เกียร์ธรรมดา ทะเบียน ผค1473 สุพรรณบุรี,"180,000 ",อัพเดท  1 ชม. ผู้เข้าชม  3065,"168,000"
"2010 MAZDA MAZDA3, 1.6 SPIRIT SPORT โฉม ปี05-10 5Dr",สีขาว เกียร์ออโต้ ทะเบียน ฎพ5337 กรุงเทพฯ,"166,374 ",อัพเดท  11 ชม. ผู้เข้าชม  1612,"169,000"
"2010 MAZDA MAZDA3, 1.6 SPIRIT SPORT โฉม ปี05-10 5Dr",สีขาว เกียร์ออโต้ ทะเบียน 3ขถ1594 กรุงเทพฯ,"172,660 ",อัพเดท  1 วัน ผู้เข้าชม  2284,"169,000"
"2010 MAZDA MAZDA2, 1.5 Maxx โฉม ปี09-14 4Dr",สีขาว เกียร์ออโต้ ทะเบียน กค1187 นครพนม,"140,000 ",อัพเดท  2 วัน ผู้เข้าชม  1240,"175,000 บาทราคาป้ายแดง675"
"2010 MAZDA MAZDA2, 1.5 Groove Sports โฉม ปี09-14 5Dr",สีดำ เกียร์ธรรมดา ทะเบียน 4ขจ4019 กรุงเทพฯ,"120,000 ",อัพเดท  6 ชม. ผู้เข้าชม  1211,"179,000 บาทราคาป้ายแดง570"
"2010 MAZDA MAZDA2, 1.5 Maxx Sports โฉม ปี09-14 5Dr",สีขาว เกียร์ออโต้ ทะเบียน ฎฐ1738 กรุงเทพฯ,"180,000 ",อัพเดท  4 วัน ผู้เข้าชม  1492,"188,000 บาทราคาป้ายแดง690"
"2010 MAZDA MAZDA3, 1.6 SPIRIT SPORT โฉม ปี05-10 5Dr",สีบรอนซ์เงิน เกียร์ออโต้ ทะเบียน 5กฎ528 กรุงเทพฯ,"110,000 ",อัพเดท  10 ชม. ผู้เข้าชม  3215,"189,000"
"2010 MAZDA MAZDA2, 1.5 Spirit Sports โฉม ปี09-14 5Dr",สีเขียว เกียร์ออโต้ ทะเบียน ฎท5184 กรุงเทพฯ,"150,000 ",อัพเดท  22 ชม. ผู้เข้าชม  963,"199,000 บาทราคาป้ายแดง640"
"2010 MAZDA MAZDA3, 2.0 SPORT โฉม ปี05-10 5Dr",สีดำ เกียร์ออโต้ ทะเบียน ฎส2598 กรุงเทพฯ,"250,905 ",อัพเดท  2 สัปดาห์ ผู้เข้าชม  1399,"210,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





72
เดือน








35,000
ดาวน์







3,510
ผ่อน



หารถโฉมนี้ที่ดาวน์ 35,000บ.


ราคาป้ายแดง984"
"2010 MAZDA MAZDA2, 1.5 Maxx Sports โฉม ปี09-14 5Dr",สีดำ เกียร์ออโต้ ทะเบียน ภอ8181 กรุงเทพฯ,"61,000 ",อัพเดท  1 วัน ผู้เข้าชม  1943,"215,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





72
เดือน








35,000
ดาวน์







3,610
ผ่อน



หารถโฉมนี้ที่ดาวน์ 35,000บ.


ราคาป้ายแดง690"
"2010 MAZDA MAZDA3, 2.0 SPORT โฉม ปี05-10 5Dr",สีขาว เกียร์ออโต้ ทะเบียน ฎฬ5199 กรุงเทพฯ,"174,742 ",อัพเดท  8 ชม. ผู้เข้าชม  292,"228,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





72
เดือน








40,000
ดาวน์







3,770
ผ่อน



หารถโฉมนี้ที่ดาวน์ 40,000บ.


ราคาป้ายแดง984"
"2010 MAZDA CX-7, 2.3 โฉม ปี07-10",สีเทา เกียร์ออโต้ ทะเบียน 3กฆ1090 กรุงเทพฯ,"70,000 ",อัพเดท  11 ชม. ผู้เข้าชม  1346,"399,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





72
เดือน








70,000
ดาวน์







6,598
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000"
"2011 MAZDA MAZDA3, 1.6 V โฉม ปี05-10 4Dr",สีขาว เกียร์ออโต้ ทะเบียน ญผ7056 กรุงเทพฯ,"122,500 ",อัพเดท  3 ชม. ผู้เข้าชม  303,"185,000 บาทราคาป้ายแดง842"
