Version,generalInfo,distance,update,cost
"2020 MAZDA CX-30, 2.0 SP โฉม ปี19-ปัจจุบัน",สีขาว เกียร์ออโต้ ทะเบียน 1ขณ8071 กรุงเทพฯ,"79,000 ",อัพเดท  2 สัปดาห์ ผู้เข้าชม  4192,"779,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








150,000
ดาวน์







9,737
ผ่อน



หารถโฉมนี้ที่ดาวน์ 150,000บ.


ราคาป้ายแดง1,199"
"2020 MAZDA CX-30, 2.0 SP โฉม ปี19-ปัจจุบัน",สีเทา เกียร์ออโต้ ทะเบียน 3ขจ3963 กรุงเทพฯ,"22,300 ",อัพเดท  4 วัน ผู้เข้าชม  1940,"800,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








150,000
ดาวน์







10,062
ผ่อน



หารถโฉมนี้ที่ดาวน์ 150,000บ.


ราคาป้ายแดง1,199"
"2020 MAZDA CX-30, 2.0 SP โฉม ปี19-ปัจจุบัน",สีดำ เกียร์ออโต้ ทะเบียน 1ขส2645 กรุงเทพฯ,"63,126 ",อัพเดท  4 วัน ผู้เข้าชม  2965,"820,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








150,000
ดาวน์







10,371
ผ่อน



หารถโฉมนี้ที่ดาวน์ 150,000บ.


ราคาป้ายแดง1,199"
"2020 MAZDA MAZDA2, 1.3 High Connect โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 1ขฆ2781 กรุงเทพฯ,"80,000 ",อัพเดท  1 ชม. ผู้เข้าชม  805,"369,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








60,000
ดาวน์







4,783
ผ่อน



หารถโฉมนี้ที่ดาวน์ 60,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 High Connect โฉม ปี14-ปัจจุบัน 4Dr",สี เกียร์ออโต้ ทะเบียน 8กฮ681 กรุงเทพฯ,"40,000 ",อัพเดท  6 ชม. ผู้เข้าชม  2599,"379,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








60,000
ดาวน์







4,938
ผ่อน



หารถโฉมนี้ที่ดาวน์ 60,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 Sports High Connect โฉม ปี14-ปัจจุบัน 5Dr",สีแดง เกียร์ออโต้ ทะเบียน 1ขก430 กรุงเทพฯ,"114,755 ",อัพเดท  5 วัน ผู้เข้าชม  321,"385,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







4,876
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 Sports High Connect โฉม ปี14-ปัจจุบัน 5Dr",สีแดง เกียร์ออโต้ ทะเบียน 1ขก430 กรุงเทพฯ,"114,755 ",อัพเดท  5 วัน ผู้เข้าชม  3652,"385,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







4,876
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 Sports High Connect โฉม ปี14-ปัจจุบัน 5Dr",สีเทา เกียร์ออโต้ ทะเบียน 9กส9336 กรุงเทพฯ,"50,000 ",อัพเดท  1 วัน ผู้เข้าชม  549,"389,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







4,938
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 E โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 1ขฒ5965 กรุงเทพฯ,"40,000 ",อัพเดท  6 ชม. ผู้เข้าชม  611,"389,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







4,938
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง546"
"2020 MAZDA MAZDA2, 1.3 C โฉม ปี14-ปัจจุบัน 4Dr",สีเทา เกียร์ออโต้ ทะเบียน กส1241 กรุงเทพฯ,"55,000 ",อัพเดท  4 ชม. ผู้เข้าชม  1942,"389,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







4,938
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง602"
"2020 MAZDA MAZDA2, 1.3 High Connect โฉม ปี14-ปัจจุบัน 4Dr",สีแดง เกียร์ออโต้ ทะเบียน 4ขฌ9130 กรุงเทพฯ,"50,000 ",อัพเดท  22 ชม. ผู้เข้าชม  3805,"389,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







4,938
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 Sport S Leather โฉม ปี14-ปัจจุบัน 5Dr",สีแดง เกียร์ออโต้ ทะเบียน 1ขฆ9246 กรุงเทพฯ,"89,800 ",อัพเดท  4 ชม. ผู้เข้าชม  499,"390,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







4,954
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2020 MAZDA MAZDA2, 1.3 Sports High Plus โฉม ปี14-ปัจจุบัน 5Dr",สีแดง เกียร์ออโต้ ทะเบียน 9กผ2128 กรุงเทพฯ,"70,000 ",อัพเดท  7 ชม. ผู้เข้าชม  1242,"395,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,031
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง670"
"2020 MAZDA MAZDA2, 1.3 High Connect โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 3ขฌ4360 กรุงเทพฯ,"31,000 ",อัพเดท  2 วัน ผู้เข้าชม  484,"399,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,093
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สี เกียร์ออโต้ ทะเบียน 9กล6632 กรุงเทพฯ,"55,000 ",อัพเดท  2 สัปดาห์ ผู้เข้าชม  1115,"399,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,093
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2020 MAZDA MAZDA2, 1.3 Sports High Connect โฉม ปี14-ปัจจุบัน 5Dr",สีเทา เกียร์ออโต้ ทะเบียน 9กล5294 กรุงเทพฯ,"54,628 ",อัพเดท  9 ชม. ผู้เข้าชม  2561,"399,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,093
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 Sports High Plus โฉม ปี14-ปัจจุบัน 5Dr",สีแดง เกียร์ออโต้ ทะเบียน 1ขต4203 กรุงเทพฯ,"80,000 ",อัพเดท  1 วัน ผู้เข้าชม  2887,"399,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,093
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง670"
"2020 MAZDA MAZDA2, 1.3 High Connect โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 9กท7818 กรุงเทพฯ,"95,057 ",อัพเดท  2 วัน ผู้เข้าชม  3534,"399,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,093
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 Sport E โฉม ปี14-ปัจจุบัน 5Dr",สีเทา เกียร์ออโต้ ทะเบียน 1ขฆ5416 กรุงเทพฯ,"63,680 ",อัพเดท  1 วัน ผู้เข้าชม  1843,"415,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,341
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง546"
"2020 MAZDA MAZDA2, 1.3 SP โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 1ขง4484 กรุงเทพฯ,"94,000 ","อัพเดท  1 วัน ผู้เข้าชม  3998 438,000 ","418,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,387
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง690"
"2020 MAZDA MAZDA2, 1.3 S โฉม ปี14-ปัจจุบัน 4Dr",สีแดง เกียร์ออโต้ ทะเบียน 1ขถ6882 กรุงเทพฯ,"59,000 ",อัพเดท  4 ชม. ผู้เข้าชม  1259,"419,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,402
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง627"
"2020 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สีแดง เกียร์ออโต้ ทะเบียน 1ขฎ3771 กรุงเทพฯ,"44,000 ",อัพเดท  7 ชม. ผู้เข้าชม  1239,"419,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,402
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2020 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สีดำ เกียร์ออโต้ ทะเบียน 1ขง1326 กรุงเทพฯ,"35,000 ",อัพเดท  5 ชม. ผู้เข้าชม  2349,"419,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,402
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2020 MAZDA MAZDA2, 1.3 Sport E โฉม ปี14-ปัจจุบัน 5Dr",สีขาว เกียร์ออโต้ ทะเบียน 1ขด7355 กรุงเทพฯ,"18,000 ",อัพเดท  1 วัน ผู้เข้าชม  2159,"419,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,402
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง546"
"2020 MAZDA MAZDA2, 1.3 High Connect โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 9กน8514 กรุงเทพฯ,"30,000 ",อัพเดท  6 ชม. ผู้เข้าชม  2613,"419,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,402
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง620"
"2020 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สีแดง เกียร์ออโต้ ทะเบียน 9กส1906 กรุงเทพฯ,"32,928 ",อัพเดท  1 วัน ผู้เข้าชม  3481,"419,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,402
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2020 MAZDA MAZDA2, 1.3 Sport S โฉม ปี14-ปัจจุบัน 5Dr",สีแดง เกียร์ออโต้ ทะเบียน 1ขต7845 กรุงเทพฯ,"83,820 ",อัพเดท  6 ชม. ผู้เข้าชม  1675,"435,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,650
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง627"
"2020 MAZDA MAZDA2, 1.3 Sports High Plus โฉม ปี14-ปัจจุบัน 5Dr",สีบรอนซ์เงิน เกียร์ออโต้ ทะเบียน 2ขษ3951 กรุงเทพฯ,"59,766 ",อัพเดท  1 วัน ผู้เข้าชม  263,"439,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,712
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง670"
"2020 MAZDA MAZDA2, 1.3 SP โฉม ปี14-ปัจจุบัน 4Dr",สีเทา เกียร์ออโต้ ทะเบียน 1ขฐ6965 กรุงเทพฯ,"74,000 ",อัพเดท  1 วัน ผู้เข้าชม  487,"439,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,712
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง690"
"2020 MAZDA MAZDA2, 1.3 S โฉม ปี14-ปัจจุบัน 4Dr",สีน้ำตาล เกียร์ออโต้ ทะเบียน 1ขถ5836 กรุงเทพฯ,"43,820 ",อัพเดท  6 ชม. ผู้เข้าชม  220,"445,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,805
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง627"
"2021 MAZDA CX-30, 2.0 C โฉม ปี19-ปัจจุบัน",สีเทา เกียร์ออโต้ ทะเบียน 2ขน620 กรุงเทพฯ,"32,758 ",อัพเดท  1 วัน ผู้เข้าชม  3629,"720,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








150,000
ดาวน์







8,823
ผ่อน



หารถโฉมนี้ที่ดาวน์ 150,000บ.


ราคาป้ายแดง989"
"2021 MAZDA CX-30, 2.0 SP โฉม ปี19-ปัจจุบัน",สีดำ เกียร์ออโต้ ทะเบียน จง1201 ชลบุรี,"55,000 ",อัพเดท  6 วัน ผู้เข้าชม  4589,"800,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








150,000
ดาวน์







10,062
ผ่อน



หารถโฉมนี้ที่ดาวน์ 150,000บ.


ราคาป้ายแดง1,199"
"2021 MAZDA MAZDA2, 1.3 E โฉม ปี14-ปัจจุบัน 4Dr",สีดำ เกียร์ออโต้ ทะเบียน 1ขต7364 กรุงเทพฯ,"19,831 ",อัพเดท  6 ชม. ผู้เข้าชม  2979,"379,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








60,000
ดาวน์







4,938
ผ่อน



หารถโฉมนี้ที่ดาวน์ 60,000บ.


ราคาป้ายแดง546"
"2021 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน กน8374 ตรัง,"50,000 ",อัพเดท  7 ชม. ผู้เข้าชม  3581,"419,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,402
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 SP โฉม ปี14-ปัจจุบัน 4Dr",สีเทา เกียร์ออโต้ ทะเบียน จพ8482 กรุงเทพฯ,"56,333 ",อัพเดท  2 วัน ผู้เข้าชม  4227,"419,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,402
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง690"
"2021 MAZDA MAZDA2, 1.3 S Leather โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 1ขพ8671 กรุงเทพฯ,"20,000 ",อัพเดท  6 ชม. ผู้เข้าชม  403,"429,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,557
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง648"
"2021 MAZDA MAZDA2, 1.3 S โฉม ปี14-ปัจจุบัน 4Dr",สีขาว เกียร์ออโต้ ทะเบียน 1ขอ5342 กรุงเทพฯ,"90,900 ",อัพเดท  9 ชม. ผู้เข้าชม  2410,"429,000 บาท 


*คำนวณโดยประมาณขึ้นอยู่กับสภาพรถและเครดิตของผู้ซื้อ





84
เดือน








70,000
ดาวน์







5,557
ผ่อน



หารถโฉมนี้ที่ดาวน์ 70,000บ.


ราคาป้ายแดง627"
