id,year,tabian,name,addName,salePrice,notSalePrice,distance,fuel,gear,color,injure,door,address,web,webid,date
1,2014,ขข-6364,2014 Mazda 3,2.0 S,"373,500","403,700","113,011",เบนซิน,เกียร์อัตโนมัติ,ดำ,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดElectrical + Interior + Feature + Instrument Cluster  -  Speedometer not workingมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6640005390/
",2023-10-28
2,2015,ขช-4677,2014 Mazda 3,2.0 S,"351,500","358,700","163,956",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,พบตำหนิเล็กน้อย 4 จุดดูรายละเอียดทั้งหมด PreviousExterior + Tyres + Door + RHS Front  -  ScratchedExterior + Tyres + Quarter Panel + RHS  -  ScratchedExterior + Tyres + Tyre + RHS - Front Exterior + Tyres + Tyre + RHS Rear  -  Alloy scratched Nextมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6640005820/
",2023-10-28
3,2014,กษ-2493,2014 Mazda 3,2.0 S,"356,900","362,300","144,032",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6640006414/
",2023-10-28
4,2014,กพ-9561,2014 Mazda 3,2.0 S,"362,300","369,700","148,577",เบนซิน,เกียร์อัตโนมัติ,แดง,พบตำหนิเล็กน้อย 3 จุดดูรายละเอียดทั้งหมด PreviousExterior + Tyres + Tyre + RHS - Front Exterior + Tyres + Tyre + RHS Rear  -  Alloy scratchedExterior + Tyres + Tyre + LHS Rear  -  Alloy scratched Nextมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6630009235/
",2023-10-28
5,2015,กธ-4428,2015 Mazda 3,2.0 S,,"399,700","114,081",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-3-car-THA6630009657/
",2023-10-28
6,2016,กจ-9928,2016 Mazda 2,1.3 Skyactiv High Plus,,"369,700","101,446",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640040054/
",2023-10-28
7,2017,กฌ-1942,2016 Mazda 2,1.3 Skyactiv High Plus,"346,600","365,900","59,128",เบนซิน,เกียร์อัตโนมัติ,เทา,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640005397/
",2023-10-28
8,2016,กภ-6681,2016 Mazda 2,1.3 Skyactiv High Connect,"323,100","332,900","153,889",เบนซิน,เกียร์อัตโนมัติ,แดง,พบตำหนิเล็กน้อย 2 จุดดูรายละเอียดทั้งหมด PreviousExterior + Tyres + Grill  -  DamagedExterior + Tyres + Door Handles + RHS Rear  -  Scratched Nextมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640030051/
",2023-10-28
9,2017,กฎ-3237,2016 Mazda 2,1.3 Skyactiv High Connect,"333,100","343,200","82,870",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640042557/
",2023-10-28
10,2016,กล-315,2016 Mazda 2,1.3 Skyactiv Sport High Connect,,"343,200","73,808",เบนซิน,เกียร์อัตโนมัติ,เทา,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640037165/
",2023-10-28
