id,name,cost,mile,gear,seller,address,web,webid,date
1,2014 Mazda BT-50 PRO 2.2 Hi-Racer,"275,000
                                            
","173,000",เกียร์ธรรมดา,"

                                                รถสวยพีพีเค
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-bt-50-pro-2-2-hi-racer-bangkok/2014-aid24360962
",2023-10-27
2,2020 Mazda 3 2.0 C Sedan รถสวยสภาพป้ายแดง สภาพใหม่กริป สภาพแบบนี้ ถือว่าสวยมากๆ ภายในสะอาด ภายนอกสวย,"679,000
                                            
","26,027",เกียร์อัตโนมัติ,"

                                                Autovilla สาขาร่มเกล้า
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-c-sports-bangkok/2020-2-0-c-sedan-รถสวยสภาพป้ายแดง-สภาพใหม่กริป-สภาพแบบนี้-ถือว่าสวยมากๆ-ภายในสะอาด-ภายนอกสวย-aid24277382
",2023-10-27
3,2022 Mazda CX30 2.0 SP รถสวยสภาพพร้อมใช้งาน ฟังก์ชั่นครบจัตเต็มมาก พร้อมหลังซันรูฟจัดเต็ม,"899,000
                                            
","3,196",เกียร์อัตโนมัติ,"

                                                Autovilla สาขาร่มเกล้า
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-30-2-0-sp-bangkok/2022-cx30-รถสวยสภาพพร้อมใช้งาน-ฟังก์ชั่นครบจัตเต็มมาก-พร้อมหลังซันรูฟจัดเต็ม-aid24329222
",2023-10-27
4,2021 Mazda2 1.3 S Leather Sedan รถสวยสภาพพร้อมใช้งาน ไม่แตกต่างจากป้ายแดงเลย,"449,000
                                            
","43,607",เกียร์อัตโนมัติ,"

                                                Autovilla สาขาร่มเกล้า
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-leather-bangkok/01-sedan-รถสวยสภาพพร้อมใช้งาน-ไม่แตกต่างจากป้ายแดงเลย-aid24362372
",2023-10-27
5,ขายรถมือสอง 2018 Mazda CX-5 2.0 S SUV  สะดวก ปลอดภัย,"749,000
                                            

                                                ฿625,000
                                            
","141,237",เกียร์อัตโนมัติ,"

                                                Totota Sure Bara
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-5-2-0-s-bangkok/ขายรถมือสอง-2018-suv-สะดวก-ปลอดภัย-aid24349372
",2023-10-27
6,2021 Mazda 2 1.3 S Sports LEATHER รถเก๋ง 5 ประตู รถสวย,"479,000
                                            

                                                ฿459,000
                                            
","55,126",เกียร์อัตโนมัติ,"

                                                Totota Sure Bara
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-s-sports-leather-bangkok/01-รถเก๋ง-5-ประตู-รถสวย-aid24345282
",2023-10-27
7,2020 Mazda 3 2.0 SP รถเก๋ง 4 ประตู รถสภาพดี มีประกัน,"719,000
                                            

                                                ฿699,000
                                            
","111,939",เกียร์อัตโนมัติ,"

                                                Totota Sure Bara
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-sp-bangkok/2020-รถเก๋ง-4-ประตู-รถสภาพดี-มีประกัน-aid24241472
",2023-10-27
8,ขาย รถมือสอง 2019 Mazda CX-5 2.0 S SUV  รถสภาพดี มีประกัน,"749,000
                                            

                                                ฿625,000
                                            
","141,237",เกียร์อัตโนมัติ,"

                                                ฝน 082-548-2377 By. 𝗖𝗔𝗥𝗦ˣ
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-cx-5-2-0-s-bangkok/ขาย-รถมือสอง-2019-suv-รถสภาพดี-มีประกัน-aid24204832
",2023-10-27
9,ขายรถมือสอง 2020 Mazda 2 1.3 E รถเก๋ง 4 ประตู  สะดวก ปลอดภัย,"409,000
                                            

                                                ฿365,000
                                            
","50,452",เกียร์อัตโนมัติ,"

                                                ฝน 082-548-2377 By. 𝗖𝗔𝗥𝗦ˣ
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-2-1-3-e-bangkok/ขายรถมือสอง-00-รถเก๋ง-4-ประตู-สะดวก-ปลอดภัย-aid24311622
",2023-10-27
10,2020 Mazda 3 2.0 SP รถเก๋ง 5 ประตู รถสภาพดี มีประกัน,"715,000
                                            

                                                ฿695,000
                                            
","111,939",เกียร์อัตโนมัติ,"

                                                ฝน 082-548-2377 By. 𝗖𝗔𝗥𝗦ˣ
                                            
",กรุงเทพมหานคร,chobrod,"car-mazda-3-2-0-sp-bangkok/2020-รถเก๋ง-5-ประตู-รถสภาพดี-มีประกัน-aid24389982
",2023-10-27
