id,name,cost,mile,status,color,gear,web,webid,date
1,2015 Mazda 2 1.5 (ปี 09-14) Sports Maxx Sports Hatchback,"245,000",140000 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-maxx-sports-กรุงเทพและปริมณฑล-มีนบุรี/12578114
",2023-10-25
2,2012 Mazda 3 2.0 (ปี 11-14) Maxx Sports Hatchback,"269,000",82000 km,รถมือสอง,สีน้ำตาล,เกียร์อัตโนมัติ,one2car,"mazda-3-maxx-sports-กรุงเทพและปริมณฑล-มีนบุรี/10980528
",2023-10-25
3,2021 Mazda 2 1.3 (ปี 15-25) 1.3 S Leather Sedan AT,"390,000",35 - 40K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-s-leather-ภาคอีสาน-อำเภอเมืองร้อยเอ็ด/12772555
",2023-10-25
4,2021 Mazda CX-30 2.0 (ปี 20-25) 2.0 SP SUV AT,"650,000",80 - 85K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-cx-30-sp-กรุงเทพและปริมณฑล-อำเภอบางพลี/12745479
",2023-10-25
5,2016 Mazda 2 1.3 (ปี 15-25) High Connect Sedan,"357,900",150 - 155K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12846477
",2023-10-25
6,2021 Mazda 2 1.3 (ปี 15-25) S Sports Hatchback,"549,000",18033 km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-s-sports-กรุงเทพและปริมณฑล-มีนบุรี/12777830?auc=true
",2023-10-25
7,2018 Mazda 2 1.3 (ปี 15-22) High Connect Sedan,"405,000",35 - 40K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-2-high-connect-ภาคอีสาน-อำเภอเมืองอุดรธานี/11348706
",2023-10-25
8,2016 Mazda 2 1.3 (ปี 15-25) High Plus Sedan,"354,900",155 - 160K km,รถมือสอง,สีน้ำตาล,เกียร์อัตโนมัติ,one2car,"mazda-2-high-plus-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12856098
",2023-10-25
9,2021 Mazda 2 1.3 (ปี 15-25) S Leather Sedan,"459,000",41000 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-2-s-leather-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12430853?auc=true
",2023-10-25
10,2017 Mazda 2 1.3 (ปี 15-25) Sports High Plus Hatchback,"378,000",53040 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-plus-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12799458?auc=true
",2023-10-25
