id,title,price,brand,subversion,version,subtype,cartype,year,distance,fuel,gear,color,gas,seller,address,web,webid,date
1,ขาย|มือสอง,"819,000",Mazda,2.0 S,2.0 S,SUV,Utility-car,2020,"30,000",เบนซิน,เกียร์อัตโนมัติ,ดำ,ไม่ติดแก๊ส,topgearauto,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368544055
",2023-10-28
2,ขาย|มือสอง,"688,000",Mazda,2.0 SP Sports,2.0 SP Sports,Sedan,Sedan,2019,"85,000",เบนซิน,เกียร์อัตโนมัติ,บรอนซ์เงิน,ไม่ติดแก๊ส,topgearauto,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368610187
",2023-10-28
3,ขาย|มือสอง,"329,000",Mazda,1.3 Sports High Connect,1.3 Sports High Connect,Sedan,Sedan,2017,"120,000",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,M6478279,ราษฎร์บูรณะ กรุงเทพมหานคร,rodkaidee,"/product-368669857
",2023-10-28
4,ขาย|มือสอง,"326,000",Mazda,1.3 Sports High Plus,1.3 Sports High Plus,Hatchback,Sedan,2016,"80,000",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ไม่ติดแก๊ส,Knot Suntipop,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368591658
",2023-10-28
5,ขาย|มือสอง,"469,000",Mazda,2.0 S,2.0 S,Hatchback,Sedan,2019,"40,000",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ไม่ติดแก๊ส,Knot Suntipop,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368612234
",2023-10-28
6,ขาย|มือสอง,"978,000",Mazda,2.2 XDL,2.2 XDL,SUV,Utility-car,2021,"70,000",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,Knot Suntipop,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368280062
",2023-10-28
7,ขาย|มือสอง,"165,000",Mazda,1.6 Spirit Sports,1.6 Spirit Sports,Hatchback,Sedan,2010,"185,000",เบนซิน,เกียร์อัตโนมัติ,ขาว,LPG,อำนาจ,สวนหลวง กรุงเทพมหานคร,rodkaidee,"/product-368498240
",2023-10-28
8,ขาย|มือสอง,"378,000",Mazda,2.0 C Sports,2.0 C Sports,Hatchback,Sedan,2017,"274,313",เบนซิน,เกียร์อัตโนมัติ,น้ำเงิน,ไม่ติดแก๊ส,เบนซ์ 88 ออโต้,มีนบุรี กรุงเทพมหานคร,rodkaidee,"/product-368667171
",2023-10-28
9,ขาย|มือสอง,"399,000",Mazda,1.3 SP Sports,1.3 SP Sports,Hatchback,Sedan,2020,"274,313",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,Louis Car Mall,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368669371
",2023-10-28
10,ขาย|มือสอง,"298,000",Mazda,2.2 Hi-Racer,2.2 Hi-Racer,Hatchback,Sedan,2020,"274,313",ดีเซล,เกียร์ธรรมดา,ขาว,ไม่ติดแก๊ส,แสงอรุณออโต้คาร์,เมืองนครราชสีมา นครราชสีมา,rodkaidee,"/product-368610243
",2023-10-28
97,ขาย|มือสอง,"449,000",Mazda,1.3 Skyactiv-G,1.3 Skyactiv-G,Sedan,Sedan,2022,"12,102",เบนซิน,เกียร์อัตโนมัติ,ดำ,ไม่ติดแก๊ส,Carro Thailand,สวนหลวง กรุงเทพมหานคร,rodkaidee,"/product-368482699
",2023-10-28
98,ขาย|มือสอง,"399,000",Mazda,1.3 High Connect,1.3 High Connect,Sedan,Sedan,2019,"12,102",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,เคเอส สปีด 0804494466,ประเวศ กรุงเทพมหานคร,rodkaidee,"/product-368502352
",2023-10-28
99,ขาย|มือสอง,"459,000",Mazda,2.0 S,2.0 S,Sedan,Sedan,2015,"116,999",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,Muangchon Used Car,เมืองชลบุรี ชลบุรี,rodkaidee,"/product-368633110
",2023-10-28
